
Begin Step 0, Time: 0.01, Redshift: 99, Nf = 0134217728, Systemstep: 0, Dloga: 0
Begin Step 191, Time: 0.113419, Redshift: 7.81683, Nf = 0090786264, Systemstep: 0.00025475, Dloga: 0.00224862

Begin Step 192, Time: 0.113931, Redshift: 7.77727, Nf = 0000001751, Systemstep: 0.000511223, Dloga: 0.00449724

Begin Step 193, Time: 0.114444, Redshift: 7.73788, Nf = 0000020786, Systemstep: 0.000513527, Dloga: 0.00449724

Begin Step 194, Time: 0.11496, Redshift: 7.69868, Nf = 0000002087, Systemstep: 0.000515842, Dloga: 0.00449724

Begin Step 195, Time: 0.115478, Redshift: 7.65964, Nf = 0134217728, Systemstep: 0.000518167, Dloga: 0.00449724

Begin Step 196, Time: 0.115999, Redshift: 7.62079, Nf = 0000002491, Systemstep: 0.000520502, Dloga: 0.00449724

Begin Step 197, Time: 0.116522, Redshift: 7.5821, Nf = 0000060782, Systemstep: 0.000522848, Dloga: 0.00449724

Begin Step 198, Time: 0.117047, Redshift: 7.54359, Nf = 0000002941, Systemstep: 0.000525205, Dloga: 0.00449724

Begin Step 199, Time: 0.117574, Redshift: 7.50526, Nf = 0098091031, Systemstep: 0.000527572, Dloga: 0.00449724

Begin Step 200, Time: 0.118104, Redshift: 7.46709, Nf = 0000003415, Systemstep: 0.00052995, Dloga: 0.00449724

Begin Step 201, Time: 0.118637, Redshift: 7.4291, Nf = 0000066991, Systemstep: 0.000532339, Dloga: 0.00449724

Begin Step 202, Time: 0.118904, Redshift: 7.41017, Nf = 0000000001, Systemstep: 0.000267069, Dloga: 0.00224862

Begin Step 203, Time: 0.119171, Redshift: 7.39128, Nf = 0000004069, Systemstep: 0.00026767, Dloga: 0.00224862

Begin Step 204, Time: 0.11944, Redshift: 7.37243, Nf = 0000000002, Systemstep: 0.000268272, Dloga: 0.00224862

Begin Step 205, Time: 0.119709, Redshift: 7.35363, Nf = 0133392158, Systemstep: 0.000268876, Dloga: 0.00224862

Begin Step 206, Time: 0.119978, Redshift: 7.33486, Nf = 0000000003, Systemstep: 0.000269482, Dloga: 0.00224862
